domain,page,page_title,pageviews
www.nsopw.gov,www.nsopw.gov/search-public-sex-offender-registries,"Search Public Sex Offender Registries | Dru Sjodin National Sex Offender Public Website",1460632
acis.eoir.justice.gov,acis.eoir.justice.gov/en/,Automated Case Information,750047
www.nsopw.gov,www.nsopw.gov/,"Home | Dru Sjodin National Sex Offender Public Website",717542
(other),(other),(other),664667
acis.eoir.justice.gov,acis.eoir.justice.gov/en/caseInformation,Automated Case Information,426246
acis.eoir.justice.gov,acis.eoir.justice.gov/es/,Información automatizada de casos,205488
www.fbi.gov,www.fbi.gov/,Welcome to fbi.gov — FBI,171467
www.justice.gov,www.justice.gov/,"Department of Justice | Homepage | United States Department of Justice",125184
acis.eoir.justice.gov,acis.eoir.justice.gov/en/caseInformation/,Automated Case Information,101774
acis.eoir.justice.gov,acis.eoir.justice.gov/es/caseInformation,Información automatizada de casos,98616
www.fbi.gov,www.fbi.gov/wanted/topten,Ten Most Wanted Fugitives — FBI,87984
uat.ojjdp.ojp.gov,uat.ojjdp.ojp.gov/,"Working for Youth Justice and Safety | Office of Juvenile Justice and Delinquency Prevention",80050
uat.ojp.gov,uat.ojp.gov/,"Home | Office of Justice Programs",61960
www.dea.gov,www.dea.gov/everyday-takeback-day,"Every Day is Take Back Day | DEA.gov",38994
www.ic3.gov,www.ic3.gov/,"Internet Crime Complaint Center(IC3) | Home Page",38111
www.justice.gov,www.justice.gov/doj/webform/your-message-department-justice,"Department of Justice | Your message to the Department of Justice | United States Department of Justice",34173
complaint.ic3.gov,complaint.ic3.gov/,IC3 Complaint Referral Form,33244
acis.eoir.justice.gov,acis.eoir.justice.gov/es/caseInformation/,Información automatizada de casos,32208
uat.juvenilecouncil.ojp.gov,uat.juvenilecouncil.ojp.gov/,"Coordinating Council on Juvenile Justice and Delinquency Prevention | Office of Justice Programs",30892
www.fbi.gov,www.fbi.gov/investigate/civil-rights/hate-crimes,Hate Crimes — FBI,28513